날짜,종가,오픈,고가,저가,거래량,변동 %
2022-05-06,2616.2,"2,630.61","2,630.61","2,616.16",29.67K,-1.59%
2022-05-04,2658.4,"2,665.74","2,674.72","2,645.86",62.21K,0.17%
2022-05-03,2653.8,"2,660.80","2,677.51","2,652.65",62.97M,-0.18%
2022-05-02,2658.7,"2,638.44","2,662.82","2,636.73",60.71K,-0.32%
2022-04-29,2667.2,"2,630.32","2,669.40","2,626.12",92.29M,1.48%
2022-04-28,2628.4,"2,616.87","2,628.35","2,597.33",94.60K,1.17%
2022-04-27,2598.1,"2,600.85","2,602.37","2,581.95",87.73M,-1.32%
2022-04-26,2632.7,"2,637.10","2,644.30","2,631.14",71.49M,0.52%
2022-04-25,2619.1,"2,636.21","2,643.24","2,618.77",75.34M,-1.79%
2022-04-22,2666.9,"2,667.90","2,671.47","2,653.80",79.53M,-1.02%
2022-04-21,2694.4,"2,689.94","2,707.80","2,689.94",73.14M,0.38%
2022-04-20,2684.3,"2,681.43","2,689.71","2,664.74",81.93M,0.06%
2022-04-19,2682.8,"2,671.68","2,693.06","2,668.73",70.62M,1.07%
2022-04-18,2654.5,"2,643.27","2,663.64","2,638.91",58.66M,-0.04%
2022-04-15,2655.7,"2,659.55","2,665.66","2,647.84",70.05M,-1.01%
2022-04-14,2682.8,"2,699.23","2,699.32","2,674.70",95.87M,-0.58%
2022-04-13,2698.3,"2,658.25","2,701.89","2,654.79",82.97M,1.94%
2022-04-12,2647,"2,656.55","2,666.75","2,641.34",68.67M,-1.00%
2022-04-11,2673.8,"2,663.85","2,688.04","2,658.67",67.51M,-0.07%
2022-04-08,2675.6,"2,682.56","2,688.56","2,663.99",72.98M,0.05%
2022-04-07,2674.1,"2,694.01","2,697.67","2,671.77",94.50M,-1.45%
2022-04-06,2713.3,"2,721.26","2,728.13","2,710.07",77.94M,-1.07%
2022-04-05,2742.7,"2,752.99","2,757.61","2,734.80",57.16M,-0.06%
2022-04-04,2744.4,"2,720.69","2,745.08","2,711.70",64.57M,0.48%
2022-04-01,2731.2,"2,737.27","2,737.27","2,718.99",79.09M,-0.67%
2022-03-31,2749.7,"2,740.62","2,761.69","2,739.89",72.43M,0.20%
2022-03-30,2744.2,"2,756.43","2,760.80","2,737.78",81.74K,0.21%
2022-03-29,2738.4,"2,739.59","2,751.11","2,727.16",79.59M,0.54%
2022-03-28,2723.7,"2,713.76","2,732.79","2,698.52",71.78M,-0.05%
2022-03-25,2725,"2,744.90","2,744.90","2,718.97",77.97M,-0.34%
2022-03-24,2734.4,"2,723.90","2,734.95","2,713.84",109.66M,-0.48%
2022-03-23,2747.5,"2,741.40","2,759.50","2,733.16",84.10M,0.90%
2022-03-22,2723,"2,701.18","2,726.22","2,701.18",83.63M,0.79%
2022-03-21,2701.7,"2,740.80","2,740.80","2,699.38",77.12M,-1.02%
2022-03-18,2729.6,"2,721.60","2,733.44","2,709.80",107.22M,0.19%
2022-03-17,2724.4,"2,730.02","2,744.40","2,723.88",110.78M,1.59%
2022-03-16,2681.7,"2,672.15","2,683.34","2,651.26",81.65M,1.47%
2022-03-15,2642.8,"2,652.59","2,664.85","2,639.55",101.04M,-1.00%
2022-03-14,2669.5,"2,668.06","2,681.16","2,655.96",114.93M,-0.12%
2022-03-11,2672.6,"2,681.36","2,686.69","2,657.27",120.92M,-0.94%
2022-03-10,2697.9,"2,669.82","2,700.23","2,669.82",154.56M,2.48%
2022-03-08,2632.6,"2,618.82","2,656.85","2,611.22",129.90M,-0.93%
2022-03-07,2657.4,"2,682.76","2,682.76","2,649.54",131.46M,-2.41%
2022-03-04,2723.1,"2,753.05","2,753.32","2,713.28",157.02M,-1.57%
2022-03-03,2766.5,"2,746.29","2,769.17","2,744.81",99.25M,1.82%
2022-03-02,2717.1,"2,725.56","2,733.51","2,711.89",118.32M,-0.32%
2022-02-28,2725.8,"2,686.88","2,725.83","2,681.48",142.50M,0.88%
2022-02-25,2702.1,"2,706.49","2,721.16","2,692.13",100.94M,0.85%
2022-02-24,2679.2,"2,716.81","2,720.87","2,670.97",109.50M,-2.59%
2022-02-23,2750.5,"2,767.45","2,769.13","2,736.26",84.04M,0.12%
