날짜,종가,오픈,고가,저가,거래량,변동 %
2022-05-04,1063.84 ,"1,071.35","1,073.24","1,059.94",-,-0.51%
2022-05-03,1069.24 ,"1,071.14","1,072.62","1,062.27",-,-0.31%
2022-05-02,1072.56 ,"1,074.44","1,074.59","1,068.63",-,-0.34%
2022-04-29,1076.19 ,"1,055.05","1,081.30","1,054.46",-,2.12%
2022-04-28,1053.82 ,"1,044.75","1,054.97","1,044.20",-,0.97%
2022-04-27,1043.74 ,"1,047.18","1,047.18","1,037.84",-,-0.54%
2022-04-26,1049.39 ,"1,048.34","1,060.60","1,047.36",-,0.32%
2022-04-25,1046.04 ,"1,072.79","1,072.79","1,044.52",-,-2.75%
2022-04-22,1075.60 ,"1,084.77","1,084.77","1,073.26",-,-1.04%
2022-04-21,1086.93 ,"1,096.12","1,097.42","1,084.96",-,-0.79%
2022-04-20,1095.63 ,"1,095.86","1,101.51","1,092.39",-,-0.03%
2022-04-19,1096.00 ,"1,107.41","1,110.42","1,094.55",-,-0.97%
2022-04-18,1106.68 ,"1,111.62","1,111.62","1,105.60",-,-0.56%
2022-04-15,1112.90 ,"1,116.14","1,116.14","1,111.14",-,-0.40%
2022-04-14,1117.36 ,"1,121.11","1,123.61","1,115.73",-,-0.18%
2022-04-13,1119.32 ,"1,112.03","1,123.30","1,111.25",-,0.80%
2022-04-12,1110.40 ,"1,111.76","1,115.64","1,104.66",-,-0.12%
2022-04-11,1111.76 ,"1,128.44","1,129.21","1,110.64",-,-1.43%
2022-04-08,1127.93 ,"1,126.35","1,129.12","1,121.07",-,0.17%
2022-04-07,1126.06 ,"1,140.95","1,141.53","1,124.38",-,-1.44%
2022-04-06,1142.50 ,"1,155.09","1,155.09","1,139.57",-,-1.23%
2022-04-05,1156.75 ,"1,162.54","1,164.22","1,154.88",-,-0.42%
2022-04-04,1161.65 ,"1,145.21","1,162.66","1,144.35",-,1.38%
2022-04-01,1145.85 ,"1,140.87","1,146.38","1,130.65",-,0.36%
2022-03-31,1141.79 ,"1,148.90","1,150.11","1,140.86",-,-0.65%
2022-03-30,1149.30 ,"1,139.54","1,151.39","1,138.75",-,1.13%
2022-03-29,1136.45 ,"1,126.29","1,139.35","1,126.29",-,1.03%
2022-03-28,1124.82 ,"1,124.06","1,126.80","1,114.65",-,-0.02%
2022-03-25,1125.01 ,"1,136.52","1,137.29","1,122.37",-,-1.05%
2022-03-24,1136.95 ,"1,139.30","1,139.30","1,131.09",-,-0.33%
2022-03-23,1140.72 ,"1,132.83","1,144.26","1,132.83",-,0.82%
2022-03-22,1131.41 ,"1,114.77","1,132.87","1,111.90",-,1.45%
2022-03-21,1115.26 ,"1,122.33","1,129.54","1,112.99",-,-0.69%
2022-03-18,1122.98 ,"1,122.28","1,123.17","1,106.72",-,0.18%
2022-03-17,1120.93 ,"1,086.69","1,122.52","1,086.69",-,3.69%
2022-03-16,1081.00 ,"1,028.78","1,084.18","1,027.86",-,5.28%
2022-03-15,1026.77 ,"1,054.14","1,054.34","1,024.17",-,-2.68%
2022-03-14,1055.01 ,"1,084.02","1,085.06","1,053.94",-,-2.82%
2022-03-11,1085.66 ,"1,102.91","1,102.91","1,080.89",-,-1.55%
2022-03-10,1102.74 ,"1,094.71","1,108.64","1,094.71",-,1.11%
2022-03-09,1090.67 ,"1,099.16","1,108.84","1,088.94",-,-0.49%
2022-03-08,1096.05 ,"1,105.16","1,108.04","1,090.74",-,-1.02%
2022-03-07,1107.30 ,"1,144.01","1,144.01","1,106.47",-,-3.28%
2022-03-04,1144.91 ,"1,171.05","1,171.05","1,141.94",-,-2.36%
2022-03-03,1172.56 ,"1,173.95","1,177.44","1,170.15",-,0.36%
2022-03-02,1168.41 ,"1,175.02","1,175.20","1,166.47",-,-0.68%
2022-03-01,1176.43 ,"1,171.71","1,182.47","1,171.71",-,0.44%
2022-02-28,1171.31 ,"1,171.98","1,172.78","1,157.47",-,-0.06%
2022-02-25,1171.99 ,"1,155.82","1,173.46","1,155.82",-,1.48%
2022-02-24,1154.86 ,"1,205.34","1,205.34","1,147.57",-,-4.31%
2022-02-23,1206.86 ,"1,207.74","1,211.64","1,206.15",-,0.02%
2022-02-22,1206.63 ,"1,216.45","1,216.45","1,195.88",-,-1.05%
2022-02-21,1219.46 ,"1,229.61","1,229.61","1,217.60",-,-1.00%
2022-02-18,1231.77 ,"1,241.98","1,242.56","1,230.40",-,-0.90%
2022-02-17,1242.92 ,"1,245.44","1,251.24","1,241.16",-,-0.10%
2022-02-16,1244.19 ,"1,230.97","1,246.24","1,230.97",-,1.23%
2022-02-15,1229.05 ,"1,219.63","1,230.38","1,215.46",-,0.71%
2022-02-14,1220.42 ,"1,235.66","1,235.73","1,217.16",-,-1.62%
2022-02-11,1240.51 ,"1,247.13","1,247.15","1,236.85",-,-0.85%
2022-02-10,1251.09 ,"1,241.56","1,252.27","1,240.79",-,0.91%
2022-02-09,1239.79 ,"1,220.90","1,241.21","1,220.90",-,1.64%
2022-02-08,1219.80 ,"1,220.90","1,223.26","1,210.27",-,0.04%
2022-02-07,1219.33 ,"1,221.86","1,223.14","1,215.89",-,-0.14%
2022-02-04,1221.10 ,"1,211.88","1,222.87","1,211.88",-,0.89%
2022-02-03,1210.27 ,"1,215.67","1,217.64","1,210.27",-,-0.24%
2022-02-02,1213.23 ,"1,214.81","1,218.21","1,212.94",-,-0.06%
2022-02-01,1214.01 ,"1,208.89","1,214.65","1,208.65",-,0.48%
2022-01-31,1208.23 ,"1,191.16","1,209.23","1,191.01",-,1.43%
2022-01-28,1191.14 ,"1,191.93","1,196.98","1,187.63",-,-0.08%
2022-01-27,1192.06 ,"1,211.36","1,211.69","1,185.34",-,-1.60%
2022-01-26,1211.45 ,"1,211.60","1,215.68","1,207.75",-,0.08%
2022-01-25,1210.45 ,"1,222.14","1,222.14","1,204.71",-,-0.96%
2022-01-24,1222.16 ,"1,243.32","1,243.32","1,216.96",-,-1.78%
2022-01-21,1244.31 ,"1,254.05","1,254.05","1,239.40",-,-0.91%
2022-01-20,1255.74 ,"1,240.87","1,258.90","1,239.35",-,1.28%
2022-01-19,1239.83 ,"1,240.76","1,242.27","1,231.10",-,-0.14%
2022-01-18,1241.58 ,"1,255.75","1,259.70","1,239.92",-,-1.02%
2022-01-17,1254.40 ,"1,256.91","1,257.09","1,251.65",-,-0.24%
2022-01-14,1257.46 ,"1,262.98","1,262.98","1,251.51",-,-0.46%
2022-01-13,1263.30 ,"1,269.39","1,270.29","1,262.76",-,-0.32%
2022-01-12,1267.34 ,"1,244.68","1,269.25","1,244.68",-,1.95%
2022-01-11,1243.04 ,"1,233.33","1,244.29","1,230.57",-,0.87%
2022-01-10,1232.27 ,"1,227.64","1,235.69","1,222.76",-,0.50%
2022-01-07,1226.10 ,"1,217.05","1,227.36","1,216.60",-,0.74%
2022-01-06,1217.07 ,"1,220.19","1,220.90","1,209.56",-,-0.46%
2022-01-05,1222.74 ,"1,234.47","1,234.52","1,220.46",-,-0.99%
2022-01-04,1234.95 ,"1,233.14","1,239.17","1,231.52",-,0.12%
2022-01-03,1233.50 ,"1,232.75","1,238.28","1,229.01",-,0.12%
2021-12-31,1232.01 ,"1,222.72","1,233.49","1,222.51",-,0.76%
2021-12-30,1222.75 ,"1,218.79","1,222.92","1,214.91",-,0.40%
2021-12-29,1217.93 ,"1,226.86","1,226.98","1,217.93",-,-0.75%
2021-12-28,1227.12 ,"1,222.39","1,228.63","1,220.88",-,0.44%
2021-12-27,1221.76 ,"1,220.17","1,222.34","1,219.36",-,0.10%
2021-12-24,1220.55 ,"1,222.05","1,225.08","1,219.29",-,0.08%
2021-12-23,1219.59 ,"1,212.44","1,221.45","1,211.85",-,0.80%
2021-12-22,1209.88 ,"1,204.90","1,211.85","1,204.63",-,0.52%
2021-12-21,1203.66 ,"1,191.42","1,204.48","1,190.68",-,1.14%
2021-12-20,1190.08 ,"1,212.56","1,212.56","1,189.32",-,-2.16%
2021-12-17,1216.30 ,"1,223.57","1,223.90","1,212.18",-,-0.62%
2021-12-16,1223.89 ,"1,216.25","1,224.84","1,212.83",-,0.77%
2021-12-15,1214.50 ,"1,220.69","1,223.19","1,210.92",-,-0.62%
2021-12-14,1222.10 ,"1,229.73","1,229.83","1,218.89",-,-0.69%
2021-12-13,1230.61 ,"1,239.75","1,249.66","1,229.61",-,-0.64%
2021-12-10,1238.54 ,"1,246.03","1,246.03","1,236.50",-,-0.73%
2021-12-09,1247.71 ,"1,242.26","1,251.50","1,242.13",-,0.54%
2021-12-08,1241.01 ,"1,237.26","1,242.20","1,237.26",-,0.44%
2021-12-07,1235.56 ,"1,214.22","1,236.48","1,213.09",-,1.78%
2021-12-06,1213.96 ,"1,226.49","1,226.49","1,210.70",-,-0.87%
2021-12-03,1224.64 ,"1,235.67","1,235.67","1,223.28",-,-0.93%
2021-12-02,1236.19 ,"1,225.49","1,237.40","1,223.35",-,0.76%
2021-12-01,1226.81 ,"1,215.82","1,232.33","1,215.23",-,1.19%
2021-11-30,1212.42 ,"1,220.38","1,223.54","1,208.54",-,-0.54%
2021-11-29,1218.99 ,"1,219.32","1,222.60","1,215.38",-,-0.34%
2021-11-26,1223.13 ,"1,253.83","1,254.32","1,220.16",-,-2.52%
2021-11-25,1254.69 ,"1,252.69","1,255.35","1,250.09",-,0.12%
2021-11-24,1253.15 ,"1,256.82","1,258.15","1,249.78",-,-0.18%
2021-11-23,1255.39 ,"1,259.80","1,260.35","1,251.46",-,-0.49%
2021-11-22,1261.56 ,"1,268.53","1,271.39","1,259.77",-,-0.60%
2021-11-19,1269.22 ,"1,273.53","1,275.75","1,266.05",-,-0.37%
2021-11-18,1273.87 ,"1,287.28","1,287.28","1,271.40",-,-1.01%
2021-11-17,1286.87 ,"1,290.07","1,290.69","1,285.59",-,-0.29%
2021-11-16,1290.55 ,"1,286.19","1,294.40","1,285.75",-,0.29%
2021-11-15,1286.82 ,"1,285.89","1,291.62","1,285.61",-,0.10%
2021-11-12,1285.48 ,"1,280.83","1,288.68","1,280.83",-,0.32%
2021-11-11,1281.40 ,"1,272.50","1,282.35","1,266.45",-,0.55%
2021-11-10,1274.39 ,"1,272.09","1,278.33","1,265.46",-,0.11%
2021-11-09,1272.95 ,"1,267.03","1,276.06","1,266.86",-,0.33%
2021-11-08,1268.82 ,"1,265.83","1,270.09","1,259.29",-,0.38%
2021-11-05,1264.07 ,"1,268.09","1,268.90","1,261.55",-,-0.35%
2021-11-04,1268.45 ,"1,265.24","1,271.46","1,265.24",-,0.47%
2021-11-03,1262.46 ,"1,263.09","1,264.91","1,257.80",-,-0.12%
2021-11-02,1263.96 ,"1,264.36","1,275.35","1,262.78",-,-0.05%
2021-11-01,1264.54 ,"1,263.16","1,264.92","1,256.70",-,-0.02%
2021-10-29,1264.75 ,"1,277.43","1,278.10","1,262.81",-,-0.89%
2021-10-28,1276.07 ,"1,283.10","1,285.13","1,275.04",-,-0.53%
2021-10-27,1282.89 ,"1,296.22","1,296.34","1,282.19",-,-1.02%
2021-10-26,1296.06 ,"1,298.49","1,302.50","1,295.52",-,-0.09%
2021-10-25,1297.26 ,"1,293.29","1,298.43","1,288.33",-,0.32%
2021-10-22,1293.14 ,"1,292.37","1,297.36","1,291.12",-,0.01%
2021-10-21,1293.00 ,"1,301.32","1,304.66","1,290.41",-,-0.62%
2021-10-20,1301.13 ,"1,295.95","1,303.72","1,295.53",-,0.51%
2021-10-19,1294.57 ,"1,284.82","1,297.39","1,284.77",-,0.90%
2021-10-18,1283.02 ,"1,284.52","1,285.26","1,278.55",-,-0.05%
2021-10-15,1283.67 ,"1,269.03","1,284.67","1,269.03",-,1.34%
2021-10-14,1266.67 ,"1,263.31","1,268.83","1,263.31",-,0.51%
2021-10-13,1260.23 ,"1,253.59","1,262.74","1,253.18",-,0.53%
2021-10-12,1253.63 ,"1,264.38","1,264.38","1,250.21",-,-0.95%
2021-10-11,1265.65 ,"1,256.59","1,267.86","1,256.59",-,0.68%
2021-10-08,1257.04 ,"1,253.04","1,259.61","1,249.86",-,0.30%
2021-10-07,1253.28 ,"1,228.92","1,254.14","1,228.92",-,2.13%
2021-10-06,1227.13 ,"1,237.26","1,239.51","1,223.43",-,-0.76%
2021-10-05,1236.51 ,"1,235.60","1,237.81","1,222.14",-,0.01%
2021-10-04,1236.41 ,"1,248.69","1,250.24","1,234.98",-,-0.82%
2021-10-01,1246.60 ,"1,252.83","1,252.83","1,243.76",-,-0.52%
2021-09-30,1253.10 ,"1,249.39","1,255.56","1,243.69",-,0.15%
2021-09-29,1251.28 ,"1,259.18","1,259.18","1,243.82",-,-0.76%
2021-09-28,1260.89 ,"1,266.90","1,271.86","1,258.76",-,-0.51%
2021-09-27,1267.36 ,"1,264.85","1,272.16","1,262.36",-,0.18%
2021-09-24,1265.10 ,"1,272.27","1,275.95","1,263.36",-,-0.58%
2021-09-23,1272.52 ,"1,261.26","1,273.55","1,259.30",-,0.77%
2021-09-22,1262.79 ,"1,256.10","1,264.26","1,254.94",-,0.11%
2021-09-21,1261.40 ,"1,255.93","1,261.40","1,250.41",-,0.25%
2021-09-20,1258.23 ,"1,276.58","1,276.58","1,253.32",-,-1.65%
2021-09-17,1279.35 ,"1,276.01","1,284.08","1,271.96",-,0.20%
2021-09-16,1276.78 ,"1,290.38","1,290.88","1,274.30",-,-0.92%
2021-09-15,1288.68 ,"1,296.41","1,296.48","1,287.22",-,-0.58%
2021-09-14,1296.15 ,"1,302.56","1,305.25","1,295.07",-,-0.41%
2021-09-13,1301.54 ,"1,307.59","1,308.25","1,292.31",-,-0.57%
2021-09-10,1308.94 ,"1,300.77","1,313.75","1,299.10",-,0.69%
2021-09-09,1299.97 ,"1,312.77","1,312.77","1,296.87",-,-1.04%
2021-09-08,1313.60 ,"1,324.73","1,327.38","1,312.90",-,-0.91%
2021-09-07,1325.65 ,"1,324.68","1,327.50","1,321.75",-,0.10%
2021-09-06,1324.37 ,"1,315.79","1,324.40","1,314.07",-,0.64%
2021-09-03,1315.91 ,"1,312.25","1,317.19","1,307.91",-,0.30%
2021-09-02,1311.91 ,"1,312.12","1,318.24","1,309.19",-,-0.04%
2021-09-01,1312.44 ,"1,308.22","1,313.54","1,302.63",-,0.29%
2021-08-31,1308.67 ,"1,285.14","1,308.67","1,275.70",-,1.81%
2021-08-30,1285.39 ,"1,275.96","1,285.51","1,273.66",-,1.00%
2021-08-27,1272.67 ,"1,265.87","1,274.68","1,263.66",-,0.52%
2021-08-26,1266.13 ,"1,276.98","1,279.37","1,265.56",-,-0.72%
2021-08-25,1275.31 ,"1,271.32","1,277.40","1,268.58",-,0.42%
2021-08-24,1270.01 ,"1,239.42","1,270.84","1,239.42",-,2.62%
2021-08-23,1237.53 ,"1,222.70","1,239.07","1,221.97",-,1.37%
2021-08-20,1220.78 ,"1,231.87","1,234.95","1,215.92",-,-0.94%
2021-08-19,1232.41 ,"1,259.34","1,259.34","1,230.35",-,-2.31%
2021-08-18,1261.60 ,"1,254.41","1,265.55","1,251.05",-,0.46%
2021-08-17,1255.78 ,"1,272.26","1,272.74","1,253.04",-,-1.29%
2021-08-16,1272.19 ,"1,281.23","1,281.75","1,271.49",-,-0.68%
2021-08-13,1280.86 ,"1,290.51","1,290.59","1,277.36",-,-0.78%
2021-08-12,1290.91 ,"1,298.98","1,299.32","1,289.22",-,-0.51%
2021-08-11,1297.58 ,"1,299.92","1,301.69","1,294.17",-,-0.21%
2021-08-10,1300.33 ,"1,294.86","1,301.43","1,290.49",-,0.47%
2021-08-09,1294.20 ,"1,291.47","1,296.07","1,282.57",-,0.13%
2021-08-06,1292.53 ,"1,298.55","1,299.34","1,290.70",-,-0.58%
2021-08-05,1300.09 ,"1,304.99","1,307.28","1,297.86",-,-0.30%
