날짜,종가,오픈,고가,저가,거래량,변동 %
2022-05-03,2809.82 ,"2,796.25","2,821.14","2,794.88",-,0.48%
2022-05-02,2796.33 ,"2,793.30","2,804.81","2,750.48",-,0.03%
2022-04-29,2795.62 ,"2,862.36","2,873.68","2,791.18",-,-2.30%
2022-04-28,2861.55 ,"2,809.29","2,872.41","2,807.44",-,1.92%
2022-04-27,2807.51 ,"2,808.33","2,836.47","2,794.85",-,-0.12%
2022-04-26,2811.00 ,"2,878.43","2,881.95","2,809.50",-,-2.32%
2022-04-25,2877.70 ,"2,881.86","2,881.86","2,833.21",-,-0.16%
2022-04-22,2882.45 ,"2,956.78","2,956.78","2,880.95",-,-2.62%
2022-04-21,2959.92 ,"2,993.55","3,025.62","2,954.36",-,-1.16%
2022-04-20,2994.64 ,"2,986.11","3,010.23","2,985.76",-,0.33%
2022-04-19,2984.70 ,"2,954.52","2,988.55","2,946.41",-,1.03%
2022-04-18,2954.15 ,"2,958.46","2,962.96","2,942.89",-,-0.19%
2022-04-15,2959.67 ,"2,960.55","2,961.08","2,958.90",-,-0.03%
2022-04-14,2960.64 ,"2,989.23","2,996.39","2,960.64",-,-0.82%
2022-04-13,2985.07 ,"2,957.45","2,991.14","2,952.85",-,0.85%
2022-04-12,2959.78 ,"2,970.62","2,997.38","2,950.35",-,-0.42%
2022-04-11,2972.40 ,"3,012.59","3,013.05","2,969.60",-,-1.32%
2022-04-08,3012.19 ,"3,013.37","3,029.02","3,001.13",-,-0.06%
2022-04-07,3014.08 ,"3,009.17","3,022.76","2,987.66",-,0.06%
2022-04-06,3012.24 ,"3,045.10","3,045.10","2,994.10",-,-1.22%
2022-04-05,3049.39 ,"3,081.04","3,086.91","3,041.34",-,-1.04%
2022-04-04,3081.38 ,"3,057.77","3,081.38","3,057.12",-,0.80%
2022-04-01,3057.07 ,"3,050.20","3,058.81","3,038.83",-,0.13%
2022-03-31,3053.07 ,"3,094.69","3,096.59","3,049.70",-,-1.41%
2022-03-30,3096.67 ,"3,109.42","3,112.50","3,085.74",-,-0.45%
2022-03-29,3110.81 ,"3,062.27","3,113.02","3,062.27",-,1.61%
2022-03-28,3061.63 ,"3,048.91","3,062.62","3,034.97",-,0.41%
2022-03-25,3049.11 ,"3,041.31","3,054.99","3,029.16",-,0.25%
