날짜,종가,오픈,고가,저가,변동 %
2022-05-05,2.290 ,2.29,2.29,2.29,0.00%
2022-05-04,2.290 ,2.295,2.295,2.29,1.33%
2022-05-03,2.260 ,2.265,2.265,2.26,0.40%
2022-05-02,2.251 ,2.255,2.255,2.251,1.35%
2022-05-01,2.221 ,2.221,2.221,2.221,0.00%
2022-04-30,2.221 ,2.221,2.221,2.221,0.00%
2022-04-29,2.221 ,2.225,2.225,2.221,0.82%
2022-04-28,2.203 ,2.205,2.205,2.203,1.15%
2022-04-27,2.178 ,2.18,2.18,2.177,1.40%
2022-04-26,2.148 ,2.15,2.15,2.147,-0.79%
2022-04-25,2.165 ,2.17,2.17,2.165,-1.37%
2022-04-24,2.195 ,2.195,2.195,2.195,0.00%
2022-04-23,2.195 ,2.195,2.195,2.195,0.00%
2022-04-22,2.195 ,2.185,2.195,2.185,0.46%
2022-04-21,2.185 ,2.195,2.195,2.182,-0.05%
2022-04-20,2.186 ,2.18,2.186,2.18,-0.23%
2022-04-19,2.191 ,2.185,2.191,2.185,-1.08%
2022-04-18,2.215 ,2.215,2.215,2.215,0.77%
2022-04-17,2.198 ,2.198,2.198,2.198,0.00%
2022-04-16,2.198 ,2.198,2.198,2.198,0.00%
2022-04-15,2.198 ,2.195,2.198,2.195,-0.59%
2022-04-14,2.211 ,2.195,2.211,2.195,-5.83%
2022-04-13,2.348 ,2.35,2.35,2.347,-2.37%
2022-04-12,2.405 ,2.405,2.405,2.405,-1.23%
2022-04-11,2.435 ,2.435,2.435,2.435,5.87%
2022-04-10,2.300 ,2.3,2.3,2.3,0.00%
2022-04-09,2.300 ,2.3,2.3,2.3,0.00%
2022-04-08,2.300 ,2.295,2.3,2.295,5.84%
2022-04-07,2.173 ,2.175,2.175,2.173,2.21%
2022-04-06,2.126 ,2.105,2.127,2.105,4.68%
2022-04-05,2.031 ,1.975,2.035,1.975,2.84%
2022-04-04,1.975 ,1.99,1.99,1.975,2.23%
2022-04-03,1.932 ,1.932,1.932,1.932,0.00%
2022-04-02,1.932 ,1.932,1.932,1.932,0.00%
2022-04-01,1.932 ,1.93,1.932,1.93,15.34%
2022-03-31,1.675 ,1.675,1.677,1.675,1.39%
2022-03-30,1.652 ,1.655,1.655,1.652,-0.12%
2022-03-29,1.654 ,1.66,1.66,1.654,-0.36%
2022-03-28,1.660 ,1.68,1.68,1.66,6.14%
2022-03-27,1.564 ,1.564,1.564,1.564,0.00%
2022-03-26,1.564 ,1.564,1.564,1.564,0.00%
2022-03-25,1.564 ,1.59,1.59,1.564,5.32%
2022-03-24,1.485 ,1.485,1.485,1.485,2.27%
2022-03-23,1.452 ,1.47,1.47,1.452,1.61%
2022-03-22,1.429 ,1.42,1.432,1.42,2.36%
2022-03-21,1.396 ,1.402,1.402,1.396,0.65%
2022-03-20,1.387 ,1.387,1.387,1.387,0.00%
2022-03-18,1.387 ,1.395,1.395,1.387,0.36%
2022-03-17,1.382 ,1.375,1.382,1.375,-0.22%
2022-03-16,1.385 ,1.38,1.385,1.38,-0.07%
2022-03-15,1.386 ,1.38,1.386,1.38,-0.29%
2022-03-14,1.390 ,1.39,1.39,1.39,-0.07%
2022-03-13,1.391 ,1.391,1.391,1.391,0.00%
2022-03-12,1.391 ,1.391,1.391,1.391,0.00%
2022-03-11,1.391 ,1.398,1.398,1.39,-0.50%
2022-03-10,1.398 ,1.395,1.398,1.395,-1.06%
2022-03-09,1.413 ,1.413,1.413,1.413,0.00%
2022-03-08,1.413 ,1.426,1.426,1.413,-0.91%
2022-03-07,1.426 ,1.456,1.456,1.42,-2.06%
2022-03-06,1.456 ,1.456,1.456,1.456,0.00%
2022-03-05,1.456 ,1.456,1.456,1.456,0.00%
2022-03-04,1.456 ,1.49,1.49,1.456,-2.28%
2022-03-03,1.490 ,1.487,1.49,1.487,0.20%
2022-03-02,1.487 ,1.496,1.496,1.486,-0.60%
2022-03-01,1.496 ,1.496,1.496,1.496,0.00%
2022-02-28,1.496 ,1.5,1.5,1.496,-0.33%
2022-02-27,1.501 ,1.501,1.501,1.501,0.00%
2022-02-26,1.501 ,1.501,1.501,1.501,0.00%
2022-02-25,1.501 ,1.49,1.502,1.49,0.74%
2022-02-24,1.490 ,1.503,1.503,1.49,-0.86%
2022-02-23,1.503 ,1.501,1.51,1.501,0.13%
2022-02-22,1.501 ,1.497,1.502,1.497,0.27%
2022-02-21,1.497 ,1.497,1.498,1.497,0.47%
2022-02-17,1.490 ,1.487,1.492,1.487,0.20%
2022-02-16,1.487 ,1.474,1.488,1.474,0.88%
2022-02-15,1.474 ,1.469,1.474,1.469,0.34%
2022-02-14,1.469 ,1.467,1.472,1.467,0.14%
2022-02-13,1.467 ,1.467,1.467,1.467,0.00%
2022-02-12,1.467 ,1.467,1.467,1.467,0.00%
2022-02-11,1.467 ,1.445,1.467,1.445,1.52%
2022-02-10,1.445 ,1.449,1.449,1.445,-0.28%
2022-02-09,1.449 ,1.454,1.454,1.447,-0.34%
2022-02-08,1.454 ,1.446,1.454,1.446,0.55%
2022-02-07,1.446 ,1.451,1.451,1.446,-0.34%
2022-02-06,1.451 ,1.451,1.451,1.451,0.00%
2022-02-05,1.451 ,1.451,1.451,1.451,0.00%
2022-02-04,1.451 ,1.45,1.451,1.45,0.35%
2022-02-03,1.446 ,1.445,1.446,1.445,-0.82%
2022-02-02,1.458 ,1.458,1.458,1.458,0.00%
2022-02-01,1.458 ,1.458,1.458,1.458,0.00%
2022-01-31,1.458 ,1.458,1.458,1.458,0.00%
2022-01-30,1.458 ,1.458,1.458,1.458,0.00%
2022-01-29,1.458 ,1.458,1.458,1.458,0.00%
2022-01-28,1.458 ,1.46,1.46,1.458,-0.14%
2022-01-27,1.460 ,1.45,1.46,1.45,0.69%
2022-01-26,1.450 ,1.45,1.45,1.45,0.00%
2022-01-25,1.450 ,1.45,1.45,1.45,0.69%
2022-01-24,1.440 ,1.44,1.44,1.44,0.00%
2022-01-23,1.440 ,1.44,1.44,1.44,0.00%
2022-01-22,1.440 ,1.44,1.44,1.44,0.00%
2022-01-21,1.440 ,1.436,1.445,1.436,0.28%
2022-01-20,1.436 ,1.426,1.44,1.426,0.70%
2022-01-19,1.426 ,1.44,1.44,1.426,-0.97%
2022-01-18,1.440 ,1.44,1.44,1.44,0.00%
2022-01-17,1.440 ,1.44,1.44,1.44,1.19%
2022-01-16,1.423 ,1.423,1.423,1.423,0.00%
2022-01-15,1.423 ,1.423,1.423,1.423,0.00%
2022-01-14,1.423 ,1.415,1.425,1.415,0.57%
2022-01-13,1.415 ,1.415,1.417,1.415,0.14%
2022-01-12,1.413 ,1.415,1.415,1.413,2.61%
2022-01-11,1.377 ,1.377,1.377,1.377,-2.89%
2022-01-10,1.418 ,1.41,1.42,1.41,0.57%
2022-01-09,1.410 ,1.41,1.41,1.41,0.00%
2022-01-08,1.410 ,1.41,1.41,1.41,0.00%
2022-01-07,1.410 ,1.4,1.41,1.4,0.71%
2022-01-06,1.400 ,1.348,1.4,1.348,3.86%
2022-01-05,1.348 ,1.337,1.35,1.337,0.82%
2022-01-04,1.337 ,1.335,1.337,1.335,1.06%
2022-01-03,1.323 ,1.323,1.323,1.323,-2.36%
2022-01-02,1.355 ,1.351,1.355,1.351,0.30%
2022-01-01,1.351 ,1.351,1.351,1.351,0.00%
2021-12-31,1.351 ,1.35,1.352,1.35,0.00%
2021-12-30,1.351 ,1.351,1.352,1.35,0.00%
2021-12-29,1.351 ,1.341,1.352,1.341,0.75%
2021-12-28,1.341 ,1.336,1.342,1.336,0.37%
2021-12-27,1.336 ,1.335,1.337,1.335,-0.15%
2021-12-26,1.338 ,1.338,1.338,1.338,0.00%
2021-12-25,1.338 ,1.338,1.338,1.338,0.00%
2021-12-24,1.338 ,1.343,1.343,1.337,-0.37%
