날짜,종가,오픈,고가,저가,변동 %
2022-05-06,1870.57 ,"1,874.57","1,876.72","1,867.73",-0.20%
2022-05-05,1874.35 ,"1,894.28","1,909.78","1,872.59",-0.36%
2022-05-04,1881.21 ,"1,868.04","1,889.74","1,861.17",0.72%
2022-05-03,1867.79 ,"1,863.05","1,878.19","1,850.33",0.27%
2022-05-02,1862.77 ,"1,896.09","1,900.10","1,854.74",-1.77%
2022-04-29,1896.40 ,"1,894.43","1,919.97","1,892.25",0.11%
2022-04-28,1894.34 ,"1,886.14","1,897.32","1,872.19",0.46%
2022-04-27,1885.74 ,"1,905.45","1,907.25","1,881.39",-1.04%
2022-04-26,1905.56 ,"1,897.95","1,911.50","1,895.38",0.41%
2022-04-25,1897.69 ,"1,931.09","1,934.71","1,891.05",-1.66%
2022-04-22,1929.73 ,"1,951.49","1,955.93","1,926.52",-1.12%
2022-04-21,1951.49 ,"1,957.84","1,958.00","1,936.79",-0.30%
2022-04-20,1957.41 ,"1,950.34","1,958.57","1,939.16",0.39%
2022-04-19,1949.84 ,"1,979.19","1,982.31","1,943.80",-1.45%
2022-04-18,1978.50 ,"1,972.84","1,998.60","1,971.05",0.20%
2022-04-15,1974.54 ,"1,974.28","1,975.69","1,973.05",0.05%
2022-04-14,1973.52 ,"1,977.78","1,980.81","1,960.90",-0.21%
2022-04-13,1977.72 ,"1,967.21","1,981.82","1,962.59",0.57%
2022-04-12,1966.59 ,"1,953.99","1,978.63","1,949.48",0.67%
2022-04-11,1953.43 ,"1,947.15","1,969.41","1,940.05",0.39%
2022-04-08,1945.85 ,"1,931.92","1,948.46","1,927.38",0.71%
2022-04-07,1932.17 ,"1,925.32","1,938.07","1,920.27",0.36%
2022-04-06,1925.32 ,"1,923.69","1,933.65","1,915.24",0.09%
2022-04-05,1923.53 ,"1,933.38","1,944.73","1,917.74",-0.46%
2022-04-04,1932.44 ,"1,924.94","1,937.05","1,915.55",0.42%
2022-04-01,1924.30 ,"1,937.51","1,939.99","1,917.56",-0.67%
2022-03-31,1937.23 ,"1,932.80","1,949.92","1,918.98",0.22%
2022-03-30,1933.06 ,"1,920.07","1,938.53","1,915.74",0.72%
2022-03-29,1919.19 ,"1,922.95","1,929.41","1,890.03",-0.21%
2022-03-28,1923.20 ,"1,958.75","1,959.36","1,916.83",-1.75%
2022-03-25,1957.40 ,"1,957.49","1,964.49","1,943.55",0.00%
2022-03-24,1957.48 ,"1,944.88","1,966.19","1,937.18",0.72%
2022-03-23,1943.42 ,"1,922.35","1,948.55","1,915.32",1.14%
2022-03-22,1921.44 ,"1,935.86","1,938.59","1,910.89",-0.75%
2022-03-21,1935.95 ,"1,922.24","1,940.69","1,918.01",0.77%
2022-03-18,1921.09 ,"1,942.90","1,945.51","1,917.93",-1.11%
2022-03-17,1942.64 ,"1,927.56","1,950.10","1,923.40",0.76%
2022-03-16,1927.93 ,"1,918.10","1,929.87","1,895.22",0.53%
2022-03-15,1917.84 ,"1,951.02","1,954.95","1,906.73",-1.71%
2022-03-14,1951.11 ,"1,985.49","1,990.33","1,949.87",-1.72%
2022-03-11,1985.29 ,"1,996.15","1,999.22","1,958.80",-0.53%
2022-03-10,1995.86 ,"1,991.94","2,009.57","1,970.66",0.22%
2022-03-09,1991.49 ,"2,052.75","2,059.25","1,976.30",-2.97%
2022-03-08,2052.41 ,"1,998.30","2,070.29","1,981.00",2.72%
2022-03-07,1998.11 ,"1,977.09","2,002.90","1,960.76",1.51%
2022-03-04,1968.45 ,"1,935.65","1,970.80","1,929.78",1.72%
2022-03-03,1935.21 ,"1,926.49","1,941.47","1,921.73",0.47%
2022-03-02,1926.11 ,"1,943.69","1,948.18","1,913.82",-0.88%
2022-03-01,1943.22 ,"1,908.19","1,950.45","1,900.93",1.85%
2022-02-28,1907.90 ,"1,920.86","1,929.36","1,890.59",1.08%
2022-02-25,1887.56 ,"1,903.55","1,921.54","1,883.10",-0.82%
2022-02-24,1903.14 ,"1,907.99","1,974.48","1,879.05",-0.23%
2022-02-23,1907.55 ,"1,898.44","1,911.00","1,889.23",0.50%
2022-02-22,1898.13 ,"1,905.89","1,914.44","1,891.16",-0.39%
2022-02-21,1905.63 ,"1,900.40","1,908.38","1,887.19",0.41%
2022-02-18,1897.87 ,"1,897.94","1,902.84","1,886.16",0.03%
2022-02-17,1897.27 ,"1,868.84","1,901.57","1,867.18",1.55%
2022-02-16,1868.25 ,"1,853.40","1,873.16","1,849.94",0.87%
2022-02-15,1852.16 ,"1,870.94","1,879.89","1,844.27",-1.07%
2022-02-14,1872.27 ,"1,861.55","1,874.41","1,850.45",0.66%
2022-02-11,1859.96 ,"1,827.25","1,865.63","1,820.79",1.83%
2022-02-10,1826.57 ,"1,832.94","1,842.35","1,821.46",-0.32%
2022-02-09,1832.43 ,"1,826.05","1,836.35","1,824.50",0.38%
2022-02-08,1825.48 ,"1,820.59","1,829.09","1,815.06",0.28%
2022-02-07,1820.31 ,"1,806.99","1,824.06","1,806.94",0.71%
2022-02-04,1807.49 ,"1,804.80","1,815.44","1,790.94",0.17%
2022-02-03,1804.40 ,"1,807.19","1,809.22","1,788.39",-0.12%
2022-02-02,1806.50 ,"1,800.94","1,811.53","1,794.11",0.32%
2022-02-01,1800.65 ,"1,796.72","1,809.16","1,795.13",0.23%
2022-01-31,1796.47 ,"1,791.19","1,800.23","1,785.03",0.30%
2022-01-28,1791.03 ,"1,796.94","1,799.82","1,779.88",-0.30%
2022-01-27,1796.51 ,"1,818.44","1,822.51","1,790.98",-1.19%
2022-01-26,1818.12 ,"1,847.99","1,850.44","1,814.90",-1.59%
2022-01-25,1847.56 ,"1,843.34","1,853.98","1,834.64",0.24%
2022-01-24,1843.06 ,"1,834.49","1,844.53","1,829.09",0.54%
