month,소비자심리지수
2015.01,102
2015.02,103
2015.03,101
2015.04,104
2015.05,105
2015.06,98
2015.07,100
2015.08,101
2015.09,103
2015.10,105
2015.11,105
2015.12,102
2016.01,100
2016.02,97.9
2016.03,100
2016.04,101.5
2016.05,99.2
2016.06,98.8
2016.07,101
2016.08,101.9
2016.09,101.8
2016.10,102
2016.11,95.7
2016.12,94.1
2017.01,93.3
2017.02,94.4
2017.03,96.7
2017.04,101.2
2017.05,108
2017.06,110.8
2017.07,110.9
2017.08,109.6
2017.09,107.4
2017.10,108.9
2017.11,112
2017.12,110.6
2018.01,110.7
2018.02,109
2018.03,108.9
2018.04,107.9
2018.05,108.8
2018.06,106.3
2018.07,101.8
2018.08,99.9
2018.09,100.7
2018.10,99.9
2018.11,96.5
2018.12,97.6
2019.01,98.3
2019.02,100.3
2019.03,100.5
2019.04,102.4
2019.05,98.7
2019.06,98.4
2019.07,96.9
2019.08,93.5
2019.09,97.9
2019.10,99.5
2019.11,101.7
2019.12,101.3
2020.01,104.8
2020.02,97.8
2020.03,80.4
2020.04,73.3
2020.05,79.7
2020.06,83.7
2020.07,85.9
2020.08,89.7
2020.09,81.4
2020.10,92.9
2020.11,99
2020.12,91.2
2021.01,95.4
2021.02,97.4
2021.03,100.5
2021.04,102.2
2021.05,105.3
2021.06,110.3
2021.07,103.2
2021.08,102.5
2021.09,103.8
2021.10,106.8
2021.11,107.6
2021.12,103.9
2022.01,104.4
2022.02,103.1
2022.03,103.2
