month,소비자물가,- 농축수산물,- 공업제품,- 집세,- 공공서비스,- 개인서비스,근원물가,생활물가,누적소비자물가
2015.01,1,1.7,0.2,2.7,0.5,1.9,2.6,-0.3,100
2015.02,0.6,1.8,-0.8,2.6,0.4,1.9,2.4,-0.6,100.6
2015.03,0.5,-0.1,-0.4,2.5,0.6,1.9,2.2,-0.6,101.103
2015.04,0.4,0.2,-0.5,2.4,0.7,1.9,2.1,-0.7,101.507412
2015.05,0.6,2.7,-0.3,2.5,0.7,1.8,2.1,-0.5,102.1164565
2015.06,0.7,3.6,0,2.5,0.7,1.8,2,-0.1,102.8312717
2015.07,0.7,3,-0.1,2.6,1.7,1.9,2.1,-0.1,103.5510906
2015.08,0.7,2.7,-0.1,2.6,2,1.8,2.1,-0.1,104.2759482
2015.09,0.5,1.3,-0.5,2.6,1.8,1.8,2,-0.3,104.7973279
2015.10,0.8,3,-0.4,2.5,1.8,2,2.2,0.1,105.6357066
2015.11,0.8,1.3,-0.1,2.5,1.8,2,2.2,0.1,106.4807922
2015.12,1.1,2.7,0.3,2.5,1.9,2.2,2.3,0.5,107.6520809
2016.01,0.6,1.5,-1.1,2,2,2.5,1.6,0.4,108.2979934
2016.02,1.1,5,-0.7,2,2.1,2.7,1.7,1,109.4892713
2016.03,0.8,4.6,-1.4,2,1.9,2.7,1.7,0.5,110.3651855
2016.04,1,4.3,-0.7,1.9,1.9,2.5,1.9,0.6,111.4688374
2016.05,0.8,0.6,-0.9,1.9,1.9,2.8,0.4,1.8,112.3605881
2016.06,0.7,-1.4,-0.6,1.9,1.9,2.8,1.8,0.3,113.1471122
2016.07,0.4,-0.3,-0.8,1.8,1,2.8,1.3,0.3,113.5997006
2016.08,0.5,0.5,-0.7,1.8,1,2.9,1.3,-0.2,114.1676991
2016.09,1.3,9.1,0,1.8,1,2.9,1.5,1,115.6518792
2016.10,1.5,7.7,0.4,1.7,0.9,2.7,1.8,1.4,117.3866574
2016.11,1.5,8,0.2,1.7,0.9,2.7,1.6,1.6,119.1474573
2016.12,1.3,6.7,0.6,1.7,0.9,2.7,1.2,1.2,120.6963742
2017.01,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6,123.3516945
2017.02,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5,125.94208
2017.03,2.3,6.6,2.3,1.8,1,2.7,1.5,2.9,128.8387479
2017.04,2,4.8,1.5,1.8,1.1,2.9,1.4,2.4,131.4155228
2017.05,2,6.4,1.4,1.8,1.1,2.4,1.4,2.5,134.0438333
2017.06,1.8,7.2,0.9,1.8,1,2.2,1.3,2.3,136.4566223
2017.07,2.2,7,0.7,1.7,1,2.5,1.8,3,139.458668
2017.08,2.5,10.7,1,1.6,1,2.4,1.8,3.5,142.9451347
2017.09,2,4.1,1.2,1.5,1,2.3,1.6,2.8,145.8040374
2017.10,1.8,2.9,1.4,1.4,0.9,2.7,1.3,2,148.4285101
2017.11,1.2,0.2,1.4,1.4,0.7,2.3,1.1,1.3,150.2096522
2017.12,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6,152.3125873
2018.01,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,153.531088
2018.02,1.3,2.8,0.6,1,0.4,2.3,1.1,1.3,155.5269921
2018.03,1.2,1.2,0.8,0.9,0.4,2.6,1.3,1.1,157.3933161
2018.04,1.5,3.5,1.3,0.8,0.3,2.6,1.4,1.5,159.7542158
2018.05,1.5,1.7,1.5,0.6,0.2,2.8,1.3,1.5,162.150529
2018.06,1.5,0.9,1.6,0.6,0.3,2.8,1.2,1.5,164.582787
2018.07,1.1,1.2,1.8,0.5,0.1,2.4,0.8,1.1,166.3931976
2018.08,1.4,4.6,1.8,0.5,0,2.5,0.9,1.5,168.7227024
2018.09,2.1,8.6,1.8,0.4,0,2.7,1.3,2.5,172.2658791
2018.10,2,8.5,1.8,0.4,0.1,2.5,1.2,2.6,175.7111967
2018.11,2,7.6,1.4,0.3,0.2,2.8,1.4,2.3,179.2254207
2018.12,1.3,5.2,0.1,0.3,0.1,2.5,1.3,1.3,181.5553511
2019.01,0.8,2.5,-0.7,0.2,-0.3,2.5,1.2,0.4,183.0077939
2019.02,0.5,-1.4,-0.8,0.1,-0.3,2.5,1.3,0,183.9228329
2019.03,0.4,-0.3,-0.7,0.1,-0.3,2,0.9,0,184.6585242
2019.04,0.6,0.7,-0.1,0,-0.3,1.7,0.9,0.4,185.7664754
2019.05,0.7,1.2,0.3,-0.1,-0.2,1.6,0.8,0.8,187.0668407
2019.06,0.7,1.8,0,-0.2,-0.2,1.9,0.9,0.8,188.3763086
2019.07,0.6,-0.3,0,-0.2,-0.1,1.9,1,0.4,189.5065664
2019.08,0,-7.3,-0.2,-0.2,0,1.8,0.9,-0.4,189.5065664
2019.09,-0.4,-8.2,-0.2,-0.2,-1.2,1.5,0.6,-0.9,188.7485402
2019.10,0,-3.8,-0.3,-0.2,-1,1.7,0.8,-0.3,188.7485402
2019.11,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,189.1260373
2019.12,0.7,-0.8,1.1,-0.2,-0.9,1.6,0.7,1.1,190.4499195
2020.01,1.2,1.3,2.3,-0.1,-1.6,1.7,0.7,1.7,192.7353186
2020.02,0.9,-0.7,2.2,-0.1,-1.6,1.1,0.5,1.2,194.4699364
2020.03,0.8,3.3,1.3,0.1,-0.5,0.5,0.5,1.4,196.0256959
2020.04,0,1,-0.5,0,-1.6,1,0.3,0.2,196.0256959
2020.05,-0.2,3.6,-1.8,0.1,-1.8,1,0.6,-0.5,195.6336445
2020.06,0.2,6.1,-1.2,0.2,-1.8,1.1,0.8,0.1,196.0249118
2020.07,0.4,8.8,-0.5,0.2,-1.8,1,0.7,0.3,196.8090115
2020.08,0.8,12.3,-0.5,0.3,-1.7,1.1,0.8,0.7,198.3834835
2020.09,0.9,12.8,-0.8,0.4,-0.7,1.2,0.9,1,200.1689349
2020.10,0.1,12.5,-1.1,0.5,-6,1.3,0.2,-0.7,200.3691038
2020.11,0.6,10.5,-1,0.6,-1.4,1.4,1.1,0,201.5713185
2020.12,0.6,8.9,-1,0.6,-1,1.5,1.1,0,202.7807464
2021.01,0.9,10.5,-0.8,0.7,0,1.6,1.2,0.8,204.6057731
2021.02,1.4,16.1,-0.8,0.8,0.1,1.7,1.2,1.7,207.4702539
2021.03,1.9,13.3,0.5,1,0.3,2.2,1.4,2.1,211.4121887
2021.04,2.5,13.2,2,1.1,0.4,2.4,1.6,3.1,216.6974935
2021.05,2.6,11.3,2.6,1.3,0.5,2.6,1.5,3.4,222.3316283
2021.06,2.3,9.5,2.2,1.3,0.6,2.5,1.5,3,227.4452557
2021.07,2.6,8.5,2.4,1.4,0.6,2.7,1.8,3.5,233.3588324
2021.08,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3,239.426162
2021.09,2.4,3.1,3,1.7,0.7,2.7,2,3.1,245.1723899
2021.10,3.2,0.5,3.8,1.7,6.1,2.7,2.8,4.6,253.0179064
2021.11,3.8,7.6,5.2,1.9,1.2,3,2.4,5.2,262.6325868
2021.12,3.7,7.8,4.7,2,0.9,3.4,2.7,4.6,272.3499925
2022.01,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1,282.1545923
2022.02,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1,292.5943122
2022.03,4.1,0.4,6.9,2,0.6,4.4,3.3,4.4,304.590679
